Points X	Points Y
166.98		509.83
157.86		507.02
148.88		503.79
140.03		500.16
131.32		496.11
122.75		491.63
114.34		486.72
106.1		481.36
98.07		475.54
90.27		469.24
82.74		462.45
75.54		455.17
68.72		447.4
62.34		439.13
56.45		430.39
51.13		421.2
46.43		411.61
42.4		401.66
39.09		391.4
36.54		380.89
34.76		370.22
33.78		359.44
33.59		348.64
34.19		337.86
35.56		327.19
37.67		323.32
40.48		333.62
43.98		343.67
48.12		353.43
52.87		362.87
58.21		371.96
64.1		380.68
70.52		389.01
77.46		396.92
84.89		404.38
92.79		411.38
101.16		417.86
109.97		423.79
119.18		429.14
128.77		433.85
138.69		437.89
148.88		441.22
159.3		443.81
169.86		445.65
180.49		446.72
191.13		447.03
201.7		446.6
212.14		445.47
222.39		443.67
232.4		441.27
242.15		438.31
251.61		434.86
260.78		430.94
269.66		426.62
278.26		421.91
286.6		416.83
294.69		411.4
302.53		405.6
310.13		399.43
317.48		392.86
324.55		385.89
331.31		378.49
337.73		370.66
343.75		362.39
349.31		353.7
354.36		344.61
358.85		335.14
362.73		325.35
365.96		324.73
368.51		335.03
370.36		345.51
371.5		356.1
371.91		366.76
371.6		377.42
370.57		388.06
368.81		398.61
366.33		409.02
363.14		419.27
359.23		429.28
354.61		439.02
349.3		448.42
343.29		457.43
336.62		465.99
329.32		474.02
321.42		481.47
312.99		488.28
304.08		494.41
294.76		499.82
285.12		504.49
275.24		508.41
265.18		511.59
255.04		514.06
244.87		515.83
234.73		516.95
224.66		517.46
214.7		517.41
204.87		516.82
195.18		515.75
185.63		514.21
176.24		512.23
